ShopID,ShopName,ShopCode,OwnerName,ContactPerson,Phone1,Phone2,Address,City,State,GPSLatitude,GPSLongitude,ShopDiscount,Trn
-LMkkFzeVbPNSZ7gDdu7,AL ZAMANAL GAMIL BAQALA,0019,,,,,,,,,,,100378023400003
-LMkkWvETKCqRfGhnHnH,KARAK AL KAIFEK CAFTERIA,0020,,,,,,,,,,,
-LMkkubjSOvlHmAuWGH4,AL MINAR BAQALA,0021,,,,,,,,,,,100322683200003
-LMkl3Jnlb5El-VzmhCv,CASH COUSTOMER,0022,,,,,,,,,,,
-LMklDFWVT0RxO2Zhieb,ATHAR AL HILLI BAQALA,0023,,,,,,,,,,,100298168400003
-LMklvvVBIuGgbxnNaF_,AL FAJIR HYPER MARKET,0024,,,,,,,,,,,100314511500003
-LMkm5LO6hVEv3VlYIsD,AL JABEEB BAQALA,0025,,,,,,,,,,,100389348200003
-LMkmFQHOr0_r8h1kccs,REMAL AL BADAA CAFTERIA,0026,,,,,,,,,,,
-LMkmTj4rbLXltRT1DXv,SYRIYA BAQALA,0027,,,,,,,,,,,100324658200003
-LMkme7kPhrio8S7vHNf,NAJEM MUBARAK SUPER MARKET,0028,,,,,,,,,,10,100334409900003
-LMkmm2VjwwHhH0dbVO5,WASAYA CAFTERIA,0029,,,,,,,,,,,
-LMkmui3MWW4yWcORO4m,WADI QAMAR CAFTERIA,0030,,,,,,,,,,,100066710300003
-LMkn2Ln4WTqdXa5sNIh,MOHAMMED RABIYA BAQALA,0031,,,,,,,,,,,100271879700003
-LMknJZXN_DUycrI_Rj5,SHEEN AL SAHRA CAFTERIA,0032,,,,,,,,,,,100242392700003
-LMko4vYZHEpxp5NVBZ1,AL SHUMOOKH CAFTERIA,0033,,,,,,,,,,,
-LMkoBqbgl-Exf2FdNHJ,LOTUS STAR GIFTS,0034,,,,,,,,,,10,
-LMkoLHC8Bl9UbmgFeP5,LULU SAHARA BAQALA,0035,,,,,,,,,,,100356639300003
-LMkp0-yLk5mrQU4gxz9,AL MAKAM HUT CAFTERIA,0036,,,,,,,,,,,100268693700003
-LMkp6aCGgHT9G106hS_,SAEED HILAL BAQALA,0037,,,,,,,,,,,
-LMkpFvKRzyeSA0TJZFw,AL MUBARAK HYPER MARKET,0038,,,,,,,,,,10,100355558600003
-LNH9NE1rJRDNb9oN7ic,test,9999,,,,,,,,,,,999
-LNYmZ6KNLI_oxqbk9NR,SUJAHA,58,,,,,,,,,,,100269527600003
-LNYmZS9rzc4ijZCiho9,RIHANA AL QUA GROCERY,16,,,,,,,,,,,100357649100003
-LNYmfF5B_ZGtDR-3gtN,NAMOOR GROCERY,59,,,,,,,,,,,100365360500003
-LNYmneRqJw_vspWifri,AL QUA SUPER MARKET,1,,,,,,,,,,,100341995700003
-LNYn07hPoZ_Pehn5o65,DANATH AL QUA SUPER MARKET,2,,,,,,,,,,,100335454300003
-LNYnDgskYaC18pNz59a,RIHANA AL KHALEEJ GROCERY,3,,,,,,,,,,,100372270700003
-LNYnL420rMuSwO3LcX-,NOOR AL GARIYA GROCERY,4,,,,,,,,,,,100371431600003
-LNYnT4V7QHwQogFlPDK,ABU HABIB SUPER MARKET,5,,,,,,,,,,,100344870900003
-LNYnaoqbC2QrQYbn__l,MUBARAKH SUPER MARKET,6,,,,,,,,,,,100355558600003
-LNYnilPYK_86g-fPf6S,RIFAT GROCERY,7,,,,,,,,,,,100014317000003
-LNYoZbMqgIeyznfN0wv,AL MANSURI GROCERY,8,,,,,,,,,,,100257736700003
-LNYomnJYwmD0an2lmQv,MANSURI AL MANSURI GROCERY,9,,,,,,,,,,,100232932000003
-LNYostbfdbRmCcIgHOR,AL SAIF SUPER MARKET,10,,,,,,,,,,,100396553800003
-LNYp0r2Aqo_Gy02-EHs,RIHANATH AL AIN GROCERY,11,,,,,,,,,,,100376681100003
-LNYpBWO6G-q_lfZORNu,DAR AL QUA GROCERY,12,,,,,,,,,,,100358304200003
-LNYpMg5lew2YcxKgsUh,GLUF FLOWER BAQALA,13,,,,,,,,,,,100377912900003
-LNYpUGUvSwhE5oLO0yF,RIHANA AL AIN BRANCH,14,,,,,,,,,,,100376681100003
-LNYqSoX_xwXjOCk4UvJ,SEKATH AL KHAIR GROCERY,15,,,,,,,,,,,100037998000003
-LNa9bSxKD5W5AAWX3q2,BAB AL FARAJ ,17,,,,,,,,,,,100369745300003
-LNa9k9H49iXkNqr8h_x,SHAREEF SUPER MARKET,18,,,,,,,,,,,100389306000003
-LNdAR9UCsE1r_-5BawJ,MUBARAK SUPER MARKET BRANCH,19,,,,,,,,,,,100355558600003
-LNdApWEwhz1pTvYWQxF,AL SAHWA GROCERY,20,,,,,,,,,,,100264037100003
-LNdAycMJCr-11JcvJSa,WAHAT AL MINAR GROCERY,21,,,,,,,,,,,100369109200003
-LNdB9X5TM_4DHsA6SYR,NAMOUR SUPER MARKET,22,,,,,,,,,,,100388361600003
-LNdBHwEzzJ_L_54V2_X,WADI FLOUR MILL,23,,,,,,,,,,,100057090100003
-LNdBPeR2EgSt-NFh2kv,BIN ALWAN SUPER MARKET,24,,,,,,,,,,,100005571300003
-LNdBZykpWy0IH9t9_dI,SAHAMAL AL QUA GROCERY,25,,,,,,,,,,,100342986500003
-LNdBhXnvrIobLQp419g,WAHAT AL MAS SUPER MARKET,26,,,,,,,,,,,100376754600003
-LNdBv8y926wTNiFyd06,PEARAL DIAMOND SUPER MARKET,27,,,,,,,,,,,100298168400003
-LNdCDdQJm3yQhWntkJ5,AHL AL KHAIR AL SHABI RESTURANT,28,,,,,,,,,,,10026919600003
-LNdCLdc_BsrSRGs_rD0,REHAB AL QUA GROCERY,29,,,,,,,,,,,100361483900003
-LNdCSgeuOuyIxYxxpvv,TAJ AL WAGAN GROCERY,30,,,,,,,,,,,100037649900003
-LNdCZC72aHwTw9zPKdI,AL SOUGHA FLOUR MILL,31,,,,,,,,,,,100366170700003
-LNdCgSPqTo9o2-S7RK3,AL QAWARER GROCERY,32,,,,,,,,,,,100053963300003
-LNdCoyk4IaAOYab8EQ7,TAJ AL MADINA GROCERY,33,,,,,,,,,,,100059959000003
-LNdCw5sli992b1Rc5qa,AL SAHARE GROCERY,34,,,,,,,,,,,100353208000003
-LNdD32QafaKL1B0bkus,ROB AL WATAN GROCERY,35,,,,,,,,,,,100338124900003
-LNdDbmotrOjbcDYTUoF,AL WANIC GROCERY,36,,,,,,,,,,,100048267700003
-LNdDjKhLuJzBFshTm8D,SHOWAREB GROCERY,37,,,,,,,,,,,100232456200003
-LNdDxVj3znzEHSeAsrS,HAMAD MUHAMMED MUHANNA STORE,38,,,,,,,,,,,100325245700003
-LNdE45E_75KHZ4LrJaR,SHABAB AL WAGAN GROCERY,39,,,,,,,,,,,100357695400003
-LNdED2fCiqBONH6AgfV,MASFOOT GROCERY,40,,,,,,,,,,,100051972600003
-LNdEK8O2wdN528ympRF,BIN IBRAHIM GROCERY,41,,,,,,,,,,,100049940800003
-LNdEQtv44pJas1tSTqG,NOOR AL WAGAN GROCERY,42,,,,,,,,,,,100385751100003
-LNdEZjPdTtgtf2u1D3h,AL HASHEED GROCERY,43,,,,,,,,,,,100317436200003
-LNdEg6wvQm30Mzlr9IE,MUKAFAHA SUPER MARKET,44,,,,,,,,,,,100324436300003
-LNdErqmtlLGAlCYv8Cs,BIN HAMROON GROCERY,45,,,,,,,,,,,100365916400003
-LNdF4NH99ic7vE1h0Ni,QAMAR AL SAHARA GROCERY,46,,,,,,,,,,,100343101000003
-LNdFB5nYyPiPTOZly0r,AL AROOBA GROCERY,47,,,,,,,,,,,100368303200003
-LNdFOiOZUiQJlL2YWC1,AL NAJOOM GROCERY,48,,,,,,,,,,,100343516900003
-LNdFX7Cp4_6BnBb1pIC,AL FARASAN GROCERY,49,,,,,,,,,,,100329929200003
-LNdFc7YDGcRjgBvZHJp,LAQMAT GROCERY,50,,,,,,,,,,,100028701900003
-LNdFiCEZ1NELFzgmAn6,HAMEED FOOD STUFF,51,,,,,,,,,,,100334777800003
-LNdFtuxw3lN37gjicQL,TAWASH GROCERY,52,,,,,,,,,,,100034054500003
-LNdGObxp3G8Ke0Wqvpk,AL MAMORA GROCERY,53,,,,,,,,,,,100200641700003
-LNdGj3JWJuo1UZSikWm,AL MAAMOON RESTAURANT ,54,,,,,,,,,,,100030464000003
-LNdGqZwunEv0rHDw26O,SAGER MATHAR GROCERY,55,,,,,,,,,,,100382521100003
-LNdHFiF_hVJTuQth55W,UM ALHQSH,56,,,,,,,,,,,1003833483300003
-LNdH_ZaP0o-r1kb5A_B,RESH FRESH CAFTERIA,57,,,,,,,,,,,100227577200003
-LNedBisY5nsbjWaUudq,MUHAMMED SALIM SUPER MARKET,39,,,,,,,,,,,100260287600003
-LNedJ_UboT4Q0j0tYmR,FUTURE LAND GROCERY,40,,,,,,,,,,,
-LNedRjjPLoZ6BYLYo9w,HILAL AHAMMED CAFTERIA,41,,,,,,,,,,,100210339600003
-LNedYhiV7R3TCQwcJPv,PRAIME GROCERY,42,,,,,,,,,,,
-LNedkLU_KIXzouYpfuP,ABUBAKER GROCERY,43,,,,,,,,,,,100227205000003
-LNedy4EdJDk5NK7txdY,MOHAMMED HUSAIN CAFTERIA,44,,,,,,,,,,,
-LNeeBQTuf7XzQ4r5mYD,SANAYYA RESTAURANT ,45,,,,,,,,,,,100272514900003
-LNefkbIJG-HyRZaisQj,AL ANDALUS GROCERY,46,,,,,,,,,,,100043730900003
-LNefw1fncRKbfLv5UyY,AL ANWAR AL MOTHEA GROCERY,47,,,,,,,,,,,100328373400003
-LNeg1eR6tUwPOYUA7ty,HABIBA GROCERY,48,,,,,,,,,,,100332698800003
-LNegAxxd1HzBi_RDB_n,SHABAB AL AROOBA GROCERY,49,,,,,,,,,,,100237381700003
-LNegJAciswDCIUUobKd,MECCA RESTAURANT ,50,,,,,,,,,,,100330679000003
-LNegRvXaMQzGZf8eWiY,AL FATAH RESTAURANT ,51,,,,,,,,,,,100037547500003
-LNeggQB0cDw8zGIZ4yg,THO AL HALIFA GROCERY,52,,,,,,,,,,,100298168400003
-LNegovyC3S9dM3PNX9U,ABDUL AFEEF IBRAHIM BAQALA,53,,,,,,,,,,,100393602600003
-LNeh4KT2qxInmZKFPR8,AL HEZAM AL AKHDHAR GROCERY,54,,,,,,,,,,,100041803600003
-LNehCuz7sx-EbD9O86H,AL ONFUWAN BAQALA,55,,,,,,,,,,,100361962200003
-LNeh_GaQB0b3p0lGG9G,AL AHEEBA BAQALA,56,,,,,,,,,,,100230981100003
-LNehjYmdvGHKaWMt1Y7,ASHARAJ BAQALA,57,,,,,,,,,,,100395140500003
-LNjpsnWhhxyI5JpEOod,QAMAR AL WAGAN CAFTERIA,58,,,,,,,,,,,100343566400003
-LNjq2k89YAHPBsVG2Vm,NASAYAM SUPER MARKET,59,,,,,,,,,,,100273845600003
-LNjqB2uVOM-mgL3eVZ9,SEA BIRD SUPER MARKET,60,,,,,,,,,,,100342710900003
-LNo44fkjoIpHjYmpUn7,NEW AL AIN GROCERY,1,,,,,,,,,,,100391112800003
-LNo4EvHZ1y_-N0GikZq,AL AZHAAR RESTAURANT ,2,,,,,,,,,,,100396032300003
-LNo4NBaf1mJ12XLMSEa,PAKISTAN VALLEY RESTAURANT ,3,,,,,,,,,,,100359313200003
-LNo4a1hcbePvaQWHCOE,SALEM MOHAMMED AL FARESI CEFTERIA,4,,,,,,,,,,,100203273600003
-LNo4iYWD7P0G3nmWqIX,DREAM TEA COFEE SHOP,5,,,,,,,,,,,100257773000003
-LNo4sR5Gz40caGHW7YT,FAB MART SUPERMARKET,6,,,,,,,,,,,100320019100003
-LNo4za3BdviPEiZ3Z9r,SALEM GROCERY,7,,,,,,,,,,,100386805400003
-LNo56XCUTs2cP8Ok6P6,ASHRA GROCERY,8,,,,,,,,,,,100322454800003
-LNo5SpHoli55wc8yepy,HASINA NEW GROCERY,9,,,,,,,,,,,100031645300003
-LNo5a2IgBQVJKny_7v0,SAEED MOHD SALEH RESTAURANT ,10,,,,,,,,,,,100073234800003
-LNo5l7ViUlXv3NTnQDS,KARAK ZAKHER CAFETERIA ,11,,,,,,,,,,,100356222800003
-LNo5wpYuTRRFqdfvah3,AL SOHAIB GROCERY ,12,,,,,,,,,,,100339871400003
-LNo63TZMT_cxvYFb73s,WADI SHARM GROCERY,13,,,,,,,,,,,100326108600003
-LNo6CoRcBRR7FzdHQFi,SILVER CLASSICA SUPER MARKET ,14,,,,,,,,,,,100317329900003
-LNo6JEm1-QGbfWuOp29,NAKEEL GROCERY ,15,,,,,,,,,,,100324131000003
-LNo6Su3w2hsrYjQ3BXT,SAHIL AL KARAK CAFETERIA ,16,,,,,,,,,,,100380413300003
-LNovANwA3ZnbogDm3VQ,AL MUBARAK HYPER MARKET,19,,,,,,,,,,10,100355558600003
-LNovNB0nQjvolkQSk64,DHAR AL MANDI,20,,,,,,,,,,,100394646200003
-LNovY-qZ63HFX5xJVkO,NAJEM MUBARAK SUPER MARKET LLC,21,,,,,,,,,,10,100334499900003
-LNovmFTUmQ-nStIMw7u,ABU NAYEF GROCERY,22,,,,,,,,,,,100072594300003
-LNow6LdDT4XshBRwLF1,MARHABA GROCERY BR.,23,,,,,,,,,,,100319453500003
-LNowDK3Kw3NlH1xqlfv,SIRAJ RESTAURANT ,24,,,,,,,,,,,100324798600003
-LNowftvH_xQZ8qNaecy,AHMED MUSABEH SUPERMARKET ,25,,,,,,,,,,,100369907900003
-LNoxIJnYcBhK0Gu9MVa,HAMZA MOHIYDDEEN SUPERMARKET BR.,26,,,,,,,,,,,100342881800003
-LNoxTKw5y4mJLEPWbdm,AL FATHAH RESTAURANT ,27,,,,,,,,,,,100332120300003
-LNox_E_jzKMErW80W1W,WADI AL HUDA GROCERY,28,,,,,,,,,,,100566284400003
-LNoxiAMH4XiBuBX1nJZ,FAIRUZ GROCERY,29,,,,,,,,,,,100399286200003
-LNoxylyYh-ul4MJB1Q5,SALEM MOHAMMED AL FARESI CEFTERIA- BR.,30,,,,,,,,,,,100203003700003
-LNoyD_N8x324i3_iXnF,HASEENA GROCERY,31,,,,,,,,,,,100237583800003
-LNoyMUoOqboML2fMf1g,CHAR MINAR RESTAURANT ,32,,,,,,,,,,,100060355300003
-LNoyjo-Xhbbp_pq1eqD,TIP TOP SUPERMARKET ,33,,,,,,,,,,,10025767800003
-LNozpB0fzNhHKeAwmkv,BLUE BERRY GROCERY ,34,,,,,,,,,,,100236691000003
-LNozzVBKZzAb1KitdIy,GULF CO- OPERATION SUPERMARKET,35,,,,,,,,,,,100357813300003
-LNp-74l3LG3Xumwn-kO,RITHA SUPERMARKET ,36,,,,,,,,,,,100390296000003
-LNp-FecbWVUEu4UeeeO,AL EBTSAMA SUPER MARKET SOLEPROPRIETORSHIP LLC,37,,,,,,,,,,,
-LNp-ODNSIkKey_LyZ2A,AHMED ABDULLA AL KAABI RESTAURANT ,38,,,,,,,,,,,
-LNp-gotYAdR95CpH5fK,NASEEM AL SANAYYA GROCERY,39,,,,,,,,,,,100388220400003
-LNp04d-Y0INwWD_eCKZ,BAHR AL ARAB RESTAURANT ,40,,,,,,,,,,,100356630200003
-LNp0On-IKK6gvmJ8gpl,HAMLY FOODSTUFF EST.,41,,,,,,,,,,,100257726800003
-LNp0Y1KfQOxmuHAKfZl,MARFAH SUPERMARKET ,42,,,,,,,,,,,100384976500003
-LNp0nITY5XDeXdlqsYc,ZAMAN AL AWASAL RESTAURANT ,43,,,,,,,,,,,100238473100003
-LNp0to7v_1CWgV2xDf4,ALI OBAID GROCERY ,44,,,,,,,,,,,100388498600003
-LNp12EUs4NzdSYz_kwD,AL AIN AL FAYDAH GROCERY ,45,,,,,,,,,,,100029132600003
-LNp1H8MVtPUNAuptUly,SEHR AL MADINA GROCERY ,46,,,,,,,,,,,100046330500003
-LNp1NoSTfFuIhIxHjQL,SERA GROCERY -L.L.C-OPC,47,,,,,,,,,,,
-LNp1W5BNcCAkZk2HGLt,REHANA STORES,48,,,,,,,,,,,100040842500003
-LNp1cNnl_4hxebu2JF_,NUAIMIYA GROCERY ,49,,,,,,,,,,,100329084600003
-LNp1v6N9P1FeIqU2Yss,NEMAT AL KHAIR GROCERY ,50,,,,,,,,,,,100358371100003
-LNpOI83MrnaJ-UY5RPJ,GEEKO CAMP,17,,,,,,,,,,,
-LNpObAGRlk70JZTpQmU,SEA BIRD SUPER MARKET (CAMP),18,,,,,,,,,,5,100342710900003
-LNpQqKzb-Ze-0dJboXY,BILADI GROCERY,52,,,,,,,,,,,
-LOT4dMqzq3jjUWRusdp,MAHA MOODH CAFTERIA,065,,,,,,,,,,,100040818500003
-LOT4ueDt1NIrYeMWij2,KHULOOD CAFTERIA,066,,,,,,,,,,,100208927200003
-LOT50V6PfKtXH3ULvwS,LANKAS GROCERY,66,,,,,,,,,,,100342996400003
-LR0sQjVjFkR-KUBL-Oi,TOWN SQUARE SUPERMARKET,070,,,,,,,,,,10 ,
